id,topic,difficulty,questionText,codeSnippet,buggyLineNumber,optionA,optionB,optionC,optionD,correctOption,explanation,fixSnippet,interviewTip
bug-0051,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #51: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0052,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #52: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0053,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #53: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0054,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #54: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
bug-0055,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #55: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0056,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #56: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0057,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #57: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0058,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #58: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
bug-0059,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #59: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0060,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #60: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0061,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #61: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0062,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #62: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
bug-0063,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #63: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0064,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #64: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0065,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #65: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class OrderProcessor {
    public synchronized void processPayment(Order order) { // Line 2: Synchronized block pins carrier thread
        try {
            // Blocking network call to payment gateway
            HttpResponse response = httpClient.send(request, BodyHandlers.ofString()); // Line 5
            recordMetric(response);
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }
}",2,Line 2 causes Carrier Thread Pinning: executing blocking I/O inside 'synchronized' locks the underlying OS thread. Replace with ReentrantLock.,Line 5 is invalid: HttpClient cannot be called by virtual threads.,Line 2 throws IllegalMonitorStateException when invoked by virtual threads.,Line 7 is invalid: RuntimeException cannot wrap Exception.,A,"In Java 21, when a Virtual Thread executes a blocking operation (I/O, network) inside a `synchronized` block/method, it is 'pinned' to its underlying OS carrier thread. This prevents the carrier from unmounting, starving the ForkJoinPool scheduler and nullifying virtual thread throughput.","private final ReentrantLock lock = new ReentrantLock();
public void processPayment(Order order) {
    lock.lock();
    try {
        HttpResponse response = httpClient.send(request, BodyHandlers.ofString());
    } finally {
        lock.unlock();
    }
}",Use -Djdk.tracePinnedThreads=full JVM flag to detect carrier thread pinning in production.
bug-0066,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #66: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public Response aggregateData(String userId) throws Exception {
    try (var scope = new StructuredTaskScope.ShutdownOnFailure()) {
        Supplier<User> userTask = scope.fork(() -> userService.getUser(userId)); // Line 3
        Supplier<Order> orderTask = scope.fork(() -> orderService.getOrder(userId)); // Line 4

        // Missing scope.join() and scope.throwIfFailed()!
        return new Response(userTask.get(), orderTask.get()); // Line 7: Throws IllegalStateException
    }
}",7,Line 7 throws IllegalStateException: Subtask.get() cannot be called before invoking scope.join() to complete all child forks.,"Line 3 fork() method only accepts Runnable, not Callable.",Line 2 StructuredTaskScope cannot be used in try-with-resources.,Line 7 Response constructor must be declared as record.,A,"In Java 21 StructuredTaskScope, calling `.get()` on a Subtask supplier before calling `scope.join()` throws IllegalStateException. The calling thread must join the subtasks before reading results.","scope.join(); // Wait for all subtasks
scope.throwIfFailed(); // Propagate failures
return new Response(userTask.get(), orderTask.get());",StructuredTaskScope guarantees that child tasks cannot outlive their enclosing lexical block (structured concurrency).
bug-0067,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #67: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public void executeBackgroundTask(Runnable task) {
    Thread vThread = Thread.ofVirtual()
        .name(""worker-"", 1)
        .unstarted(task); // Line 4: Creates unstarted thread without calling .start()!

    // Task is never executed!
}",4,Line 4 creates an unstarted thread that never executes; must call .start() on the returned thread instance or use ofVirtual().start().,Line 3 .name() cannot take a sequence start number.,Line 2 Thread.ofVirtual() requires VirtualThreadExecutor permission.,Line 4 throws UnsupportedOperationException on Java 21.,A,`Thread.ofVirtual().unstarted(task)` creates a new Thread instance in NEW state but does NOT schedule it. You must explicitly invoke `vThread.start()` or use `Thread.ofVirtual().start(task)`.,"Thread.ofVirtual()
    .name(""worker-"", 1)
    .start(task); // Starts immediately!",Remember: ofVirtual().start() immediately launches the virtual thread; ofVirtual().unstarted() requires manual .start().
bug-0068,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #68: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class TraceContextHolder {
    public static final ScopedValue<String> TRACE_ID = ScopedValue.newInstance();

    public void handleRequest() {
        // Attempting to read value without ScopedValue.where(...) binding!
        String currentTrace = TRACE_ID.get(); // Line 6: Throws NoSuchElementException
        logger.info(""Processing trace: "" + currentTrace);
    }
}",6,"Line 6 throws NoSuchElementException because TRACE_ID is not bound; must execute within ScopedValue.where(TRACE_ID, value).run(...).",Line 2 ScopedValue.newInstance() is private in Java 21.,Line 7 String concatenation is not allowed with ScopedValue.,Line 6 returns null instead of throwing exception.,A,"Java 21 `ScopedValue` has no default fallback value. Accessing `TRACE_ID.get()` outside a `ScopedValue.where(TRACE_ID, val).run(...)` bound execution scope throws `NoSuchElementException`.","ScopedValue.where(TRACE_ID, ""REQ-1234"").run(() -> {
    String currentTrace = TRACE_ID.get(); // Safe!
});",ScopedValue is immutable and faster than ThreadLocal because child virtual threads inherit context without copying memory maps.
bug-0069,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #69: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class OrderProcessor {
    public synchronized void processPayment(Order order) { // Line 2: Synchronized block pins carrier thread
        try {
            // Blocking network call to payment gateway
            HttpResponse response = httpClient.send(request, BodyHandlers.ofString()); // Line 5
            recordMetric(response);
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }
}",2,Line 2 causes Carrier Thread Pinning: executing blocking I/O inside 'synchronized' locks the underlying OS thread. Replace with ReentrantLock.,Line 5 is invalid: HttpClient cannot be called by virtual threads.,Line 2 throws IllegalMonitorStateException when invoked by virtual threads.,Line 7 is invalid: RuntimeException cannot wrap Exception.,A,"In Java 21, when a Virtual Thread executes a blocking operation (I/O, network) inside a `synchronized` block/method, it is 'pinned' to its underlying OS carrier thread. This prevents the carrier from unmounting, starving the ForkJoinPool scheduler and nullifying virtual thread throughput.","private final ReentrantLock lock = new ReentrantLock();
public void processPayment(Order order) {
    lock.lock();
    try {
        HttpResponse response = httpClient.send(request, BodyHandlers.ofString());
    } finally {
        lock.unlock();
    }
}",Use -Djdk.tracePinnedThreads=full JVM flag to detect carrier thread pinning in production.
bug-0070,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #70: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public Response aggregateData(String userId) throws Exception {
    try (var scope = new StructuredTaskScope.ShutdownOnFailure()) {
        Supplier<User> userTask = scope.fork(() -> userService.getUser(userId)); // Line 3
        Supplier<Order> orderTask = scope.fork(() -> orderService.getOrder(userId)); // Line 4

        // Missing scope.join() and scope.throwIfFailed()!
        return new Response(userTask.get(), orderTask.get()); // Line 7: Throws IllegalStateException
    }
}",7,Line 7 throws IllegalStateException: Subtask.get() cannot be called before invoking scope.join() to complete all child forks.,"Line 3 fork() method only accepts Runnable, not Callable.",Line 2 StructuredTaskScope cannot be used in try-with-resources.,Line 7 Response constructor must be declared as record.,A,"In Java 21 StructuredTaskScope, calling `.get()` on a Subtask supplier before calling `scope.join()` throws IllegalStateException. The calling thread must join the subtasks before reading results.","scope.join(); // Wait for all subtasks
scope.throwIfFailed(); // Propagate failures
return new Response(userTask.get(), orderTask.get());",StructuredTaskScope guarantees that child tasks cannot outlive their enclosing lexical block (structured concurrency).
bug-0071,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #71: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public void executeBackgroundTask(Runnable task) {
    Thread vThread = Thread.ofVirtual()
        .name(""worker-"", 1)
        .unstarted(task); // Line 4: Creates unstarted thread without calling .start()!

    // Task is never executed!
}",4,Line 4 creates an unstarted thread that never executes; must call .start() on the returned thread instance or use ofVirtual().start().,Line 3 .name() cannot take a sequence start number.,Line 2 Thread.ofVirtual() requires VirtualThreadExecutor permission.,Line 4 throws UnsupportedOperationException on Java 21.,A,`Thread.ofVirtual().unstarted(task)` creates a new Thread instance in NEW state but does NOT schedule it. You must explicitly invoke `vThread.start()` or use `Thread.ofVirtual().start(task)`.,"Thread.ofVirtual()
    .name(""worker-"", 1)
    .start(task); // Starts immediately!",Remember: ofVirtual().start() immediately launches the virtual thread; ofVirtual().unstarted() requires manual .start().
bug-0072,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #72: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class TraceContextHolder {
    public static final ScopedValue<String> TRACE_ID = ScopedValue.newInstance();

    public void handleRequest() {
        // Attempting to read value without ScopedValue.where(...) binding!
        String currentTrace = TRACE_ID.get(); // Line 6: Throws NoSuchElementException
        logger.info(""Processing trace: "" + currentTrace);
    }
}",6,"Line 6 throws NoSuchElementException because TRACE_ID is not bound; must execute within ScopedValue.where(TRACE_ID, value).run(...).",Line 2 ScopedValue.newInstance() is private in Java 21.,Line 7 String concatenation is not allowed with ScopedValue.,Line 6 returns null instead of throwing exception.,A,"Java 21 `ScopedValue` has no default fallback value. Accessing `TRACE_ID.get()` outside a `ScopedValue.where(TRACE_ID, val).run(...)` bound execution scope throws `NoSuchElementException`.","ScopedValue.where(TRACE_ID, ""REQ-1234"").run(() -> {
    String currentTrace = TRACE_ID.get(); // Safe!
});",ScopedValue is immutable and faster than ThreadLocal because child virtual threads inherit context without copying memory maps.
bug-0073,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #73: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class OrderProcessor {
    public synchronized void processPayment(Order order) { // Line 2: Synchronized block pins carrier thread
        try {
            // Blocking network call to payment gateway
            HttpResponse response = httpClient.send(request, BodyHandlers.ofString()); // Line 5
            recordMetric(response);
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }
}",2,Line 2 causes Carrier Thread Pinning: executing blocking I/O inside 'synchronized' locks the underlying OS thread. Replace with ReentrantLock.,Line 5 is invalid: HttpClient cannot be called by virtual threads.,Line 2 throws IllegalMonitorStateException when invoked by virtual threads.,Line 7 is invalid: RuntimeException cannot wrap Exception.,A,"In Java 21, when a Virtual Thread executes a blocking operation (I/O, network) inside a `synchronized` block/method, it is 'pinned' to its underlying OS carrier thread. This prevents the carrier from unmounting, starving the ForkJoinPool scheduler and nullifying virtual thread throughput.","private final ReentrantLock lock = new ReentrantLock();
public void processPayment(Order order) {
    lock.lock();
    try {
        HttpResponse response = httpClient.send(request, BodyHandlers.ofString());
    } finally {
        lock.unlock();
    }
}",Use -Djdk.tracePinnedThreads=full JVM flag to detect carrier thread pinning in production.
bug-0074,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #74: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public Response aggregateData(String userId) throws Exception {
    try (var scope = new StructuredTaskScope.ShutdownOnFailure()) {
        Supplier<User> userTask = scope.fork(() -> userService.getUser(userId)); // Line 3
        Supplier<Order> orderTask = scope.fork(() -> orderService.getOrder(userId)); // Line 4

        // Missing scope.join() and scope.throwIfFailed()!
        return new Response(userTask.get(), orderTask.get()); // Line 7: Throws IllegalStateException
    }
}",7,Line 7 throws IllegalStateException: Subtask.get() cannot be called before invoking scope.join() to complete all child forks.,"Line 3 fork() method only accepts Runnable, not Callable.",Line 2 StructuredTaskScope cannot be used in try-with-resources.,Line 7 Response constructor must be declared as record.,A,"In Java 21 StructuredTaskScope, calling `.get()` on a Subtask supplier before calling `scope.join()` throws IllegalStateException. The calling thread must join the subtasks before reading results.","scope.join(); // Wait for all subtasks
scope.throwIfFailed(); // Propagate failures
return new Response(userTask.get(), orderTask.get());",StructuredTaskScope guarantees that child tasks cannot outlive their enclosing lexical block (structured concurrency).
bug-0075,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #75: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public void executeBackgroundTask(Runnable task) {
    Thread vThread = Thread.ofVirtual()
        .name(""worker-"", 1)
        .unstarted(task); // Line 4: Creates unstarted thread without calling .start()!

    // Task is never executed!
}",4,Line 4 creates an unstarted thread that never executes; must call .start() on the returned thread instance or use ofVirtual().start().,Line 3 .name() cannot take a sequence start number.,Line 2 Thread.ofVirtual() requires VirtualThreadExecutor permission.,Line 4 throws UnsupportedOperationException on Java 21.,A,`Thread.ofVirtual().unstarted(task)` creates a new Thread instance in NEW state but does NOT schedule it. You must explicitly invoke `vThread.start()` or use `Thread.ofVirtual().start(task)`.,"Thread.ofVirtual()
    .name(""worker-"", 1)
    .start(task); // Starts immediately!",Remember: ofVirtual().start() immediately launches the virtual thread; ofVirtual().unstarted() requires manual .start().
bug-0076,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #76: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class TraceContextHolder {
    public static final ScopedValue<String> TRACE_ID = ScopedValue.newInstance();

    public void handleRequest() {
        // Attempting to read value without ScopedValue.where(...) binding!
        String currentTrace = TRACE_ID.get(); // Line 6: Throws NoSuchElementException
        logger.info(""Processing trace: "" + currentTrace);
    }
}",6,"Line 6 throws NoSuchElementException because TRACE_ID is not bound; must execute within ScopedValue.where(TRACE_ID, value).run(...).",Line 2 ScopedValue.newInstance() is private in Java 21.,Line 7 String concatenation is not allowed with ScopedValue.,Line 6 returns null instead of throwing exception.,A,"Java 21 `ScopedValue` has no default fallback value. Accessing `TRACE_ID.get()` outside a `ScopedValue.where(TRACE_ID, val).run(...)` bound execution scope throws `NoSuchElementException`.","ScopedValue.where(TRACE_ID, ""REQ-1234"").run(() -> {
    String currentTrace = TRACE_ID.get(); // Safe!
});",ScopedValue is immutable and faster than ThreadLocal because child virtual threads inherit context without copying memory maps.
bug-0077,OCP Java 21 - Virtual Threads & Concurrency,Staff,Production Incident #77: Spot the defective line in the following OCP Java 21 - Virtual Threads & Concurrency implementation.,"public class OrderProcessor {
    public synchronized void processPayment(Order order) { // Line 2: Synchronized block pins carrier thread
        try {
            // Blocking network call to payment gateway
            HttpResponse response = httpClient.send(request, BodyHandlers.ofString()); // Line 5
            recordMetric(response);
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }
}",2,Line 2 causes Carrier Thread Pinning: executing blocking I/O inside 'synchronized' locks the underlying OS thread. Replace with ReentrantLock.,Line 5 is invalid: HttpClient cannot be called by virtual threads.,Line 2 throws IllegalMonitorStateException when invoked by virtual threads.,Line 7 is invalid: RuntimeException cannot wrap Exception.,A,"In Java 21, when a Virtual Thread executes a blocking operation (I/O, network) inside a `synchronized` block/method, it is 'pinned' to its underlying OS carrier thread. This prevents the carrier from unmounting, starving the ForkJoinPool scheduler and nullifying virtual thread throughput.","private final ReentrantLock lock = new ReentrantLock();
public void processPayment(Order order) {
    lock.lock();
    try {
        HttpResponse response = httpClient.send(request, BodyHandlers.ofString());
    } finally {
        lock.unlock();
    }
}",Use -Djdk.tracePinnedThreads=full JVM flag to detect carrier thread pinning in production.
